Number,System,CPU,RAM,ROM,Solid,Screen,Time,Weight,Price
微软_100000713283,2,2,2,2,3,1,3,1,2
微软_10075070442,2,2,2,2,2,1,3,1,1
微软_10075070448,2,2,2,2,3,1,3,1,1
微软_10482826620,2,2,2,2,3,1,3,1,2
微软_12681753538,2,2,2,2,2,1,3,1,1
微软_24618704439,2,2,2,2,2,1,3,1,1
微软_26386543545,2,2,2,2,2,1,3,1,1
微软_27906084101,2,2,2,2,3,1,3,1,1
微软_28724209167,2,2,2,2,3,1,3,1,2
微软_28760306278,2,2,1,1,2,1,3,1,1
微软_30278553391,2,2,1,1,1,1,3,1,1
微软_7649997,2,1,1,2,2,1,3,1,1
惠普_100000350914,2,1,2,2,3,2,3,1,1
惠普_100000350916,2,1,2,2,3,2,3,1,1
惠普_100000350918,2,1,2,2,3,2,3,1,1
惠普_100000402913,2,1,2,2,2,2,3,1,1
惠普_100000509239,2,1,2,2,3,1,3,1,1
惠普_100000509341,2,1,2,2,3,1,3,1,1
惠普_100000509393,2,1,2,2,3,2,3,1,1
惠普_100000511418,2,1,2,2,3,1,3,1,1
惠普_100000511428,2,1,2,2,3,1,3,1,1
惠普_100001024587,2,2,2,2,3,3,3,2,2
惠普_16883013426,2,2,2,2,3,3,3,2,1
惠普_25705393052,2,2,2,2,2,3,2,2,1
惠普_25705393053,2,2,2,2,2,3,2,2,1
惠普_25705393059,2,2,2,2,2,3,2,2,1
惠普_27914580585,2,2,2,2,2,2,3,2,1
惠普_28222281674,2,1,3,2,2,3,3,2,1
惠普_28278002543,2,1,2,1,2,3,1,2,1
惠普_33318802070,2,1,2,2,2,3,1,2,1
惠普_5408932,2,1,2,2,2,2,3,1,1
惠普_7374698,2,2,2,2,3,1,3,1,1
惠普_7552874,2,2,3,2,4,3,3,2,2
惠普_7671923,2,1,1,1,3,2,3,1,1
惠普_7671945,2,2,1,1,1,2,3,1,1
惠普_7671977,2,2,1,1,3,2,3,1,1
戴尔_100000117758,2,1,2,2,3,2,3,1,1
戴尔_100000376372,2,1,2,2,3,2,3,1,1
戴尔_100000376378,2,1,2,2,3,2,3,1,1
戴尔_100001160889,2,1,2,2,2,3,2,1,1
戴尔_11038818380,2,1,2,2,2,3,1,2,1
戴尔_11095833323,2,1,2,2,2,3,1,2,1
戴尔_11943204393,2,1,2,2,2,3,1,2,1
戴尔_11974345922,2,1,1,2,2,3,1,2,1
戴尔_13760780684,2,1,1,2,2,1,1,1,1
戴尔_16059358197,2,2,2,2,3,3,2,2,1
戴尔_16916113511,2,2,2,2,3,2,2,2,1
